n_components,smiles_1,smiles_2,smiles_3,smiles_4,smiles_5,smiles_6,smiles_7,ratio_1,ratio_2,ratio_3,ratio_4,ratio_5,ratio_6,ratio_7,tg
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1495,0.3505,0.2135,0.036,0.2505,,,37.0
2,O=C(O)c1cccc(C(=O)O)c1,OCCCCO,,,,,,0.5,0.5,,,,,,16.0
2,O=C(O)c1ccccc1C(=O)O,CC(C)(CO)CO,,,,,,0.5,0.5,,,,,,41.0
4,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CC(CO)CO,,,,0.146,0.354,0.2235,0.2765,,,,29.34
3,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CC(CO)CO,,,,,0.5,0.2035,0.2965,,,,,56.23
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1901,0.3102,0.2136,0.0575,0.2286,,,18.0
2,O=C(O)C1CCCC(C(=O)O)C1,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,42.0
2,O=C(O)C1CCC(C(=O)O)CC1,OCCOCCO,,,,,,0.5,0.5,,,,,,-12.0
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.08,0.42,0.195,0.018,0.287,,,30.21
2,O=C(O)CCCCC(=O)O,OCCO,,,,,,0.5,0.5,,,,,,-45.0
2,O=C(O)CCCCCCCCC(=O)O,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,-38.63
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1475,0.3525,0.217,0.039,0.244,,,35.0
2,O=C(O)CCCCC(=O)O,OCCCCO,,,,,,0.5,0.5,,,,,,-59.0
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,,0.179,0.321,0.263,0.22,0.017,,,23.0
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.154,0.346,0.2125,0.0485,0.239,,,19.0
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5,0.1825,0.0415,0.276,,,,57.28
5,O=C(O)CCCCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.1,0.245,0.155,0.38,0.12,,,33.0
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.15,0.215,0.135,0.38,0.12,,,22.0
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.0805,0.4197,0.1956,0.0165,0.2876,,,31.41
6,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.15,0.215,0.135,0.37,0.11,0.02,,22.0
7,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,0.0785,0.31,0.1115,0.14,0.226,0.0325,0.1015,55.26
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.15,0.215,0.135,0.38,0.12,,,34.0
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5,0.1935,0.0195,0.287,,,,57.08
6,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.1534,0.2484,0.0985,0.2694,0.2269,0.0035,,84.04
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5,0.199,0.0095,0.2915,,,,53.78
6,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.1495,0.251,0.0995,0.237,0.258,0.005,,33.51
4,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCCC(CO)C1,CC1(C)C(O)C(C)(C)C1O,,,,0.4227,0.0775,0.2746,0.2251,,,,78.77
5,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.3,0.12,0.08,0.38,0.12,,,41.0
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,0.4273,0.0725,0.2159,0.2519,0.0085,0.024,,89.97
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,0.425,0.075,0.215,0.225,0.01,0.05,,86.13
2,O=C(O)C1CCCC(C(=O)O)C1,OCCO,,,,,,0.5,0.5,,,,,,10.0
2,O=C(O)C1CCCCC1C(=O)O,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,36.0
7,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,0.026,0.3375,0.1365,0.192,0.2255,0.033,0.0495,80.2
2,O=C(O)C1CCCCC1C(=O)O,OCCO,,,,,,0.5,0.5,,,,,,25.0
6,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.153,0.2505,0.0965,0.2915,0.2025,0.006,,61.8
5,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.5,0.1445,0.096,0.0165,0.243,,,63.89
4,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1ccc(C(=O)O)cc1,CCC(CO)(CO)CO,OCC1CC2C3CC(CO)C(C3)C2C1,,,,0.1,0.4,0.029,0.471,,,,60.13
3,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CC(CO)CO,,,,,0.5,0.2005,0.2995,,,,,52.12
2,O=C(O)C1CCC(C(=O)O)CC1,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,37.0
6,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,OCC1CCCC(CO)C1,CCC(CO)(CO)CO,,0.0505,0.3285,0.121,0.2055,0.264,0.0305,,55.36
5,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.15,0.215,0.135,0.38,0.12,,,56.0
5,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,O=C(O)c1ccc2c(c1)C(=O)OC2=O,OCC1CCC(CO)CC1,CC(CO)CO,,,0.3975,0.098,0.0045,0.187,0.313,,,54.11
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1499,0.3498,0.2279,0.005,0.2674,,,29.34
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCCCCCCO,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.357,0.143,0.05,0.213,0.2295,0.0075,,83.8
2,O=C(O)C1CCC(C(=O)O)CC1,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,42.0
6,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.1555,0.2475,0.097,0.2385,0.257,0.0045,,45.99
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.0815,0.4185,0.193,0.02,0.287,,,32.41
2,O=C(O)c1cccc(C(=O)O)c1,OCCCO,,,,,,0.5,0.5,,,,,,36.0
2,O=C(O)CCCCCCCCC(=O)O,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,-43.66
5,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CC(CO)CO,,,0.3555,0.1445,0.197,0.198,0.105,,,91.6
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCCCCCCO,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,OCC1CC2C3CC(CO)C(C3)C2C1,,0.3545,0.1448,0.0499,0.2247,0.1138,0.1123,,89.7
2,O=C(O)c1cccc(C(=O)O)c1,OCCO,,,,,,0.5,0.5,,,,,,59.0
2,O=C(O)c1ccc(C(=O)O)cc1,OCCO,,,,,,0.5,0.5,,,,,,78.0
2,O=C(O)c1ccccc1C(=O)O,OCCOCCO,,,,,,0.5,0.5,,,,,,10.0
5,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.35,0.15,0.25,0.01,0.24,,,78.89
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5,0.199,0.009,0.292,,,,59.54
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5,0.198,0.009,0.293,,,,54.49
2,O=C(O)C1CCC(C(=O)O)CC1,OCCCO,,,,,,0.5,0.5,,,,,,-2.0
2,O=C(O)c1cccc(C(=O)O)c1,CC(C)(CO)CO,,,,,,0.5,0.5,,,,,,64.0
5,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.4325,0.0675,0.1945,0.02,0.2855,,,58.74
2,O=C(O)C1CCC(C(=O)O)CC1,CC(C)(CO)CO,,,,,,0.5,0.5,,,,,,17.0
2,O=C(O)c1ccc(C(=O)O)cc1,OCCCCO,,,,,,0.5,0.5,,,,,,32.0
7,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,0.05,0.3252,0.1251,0.1386,0.2266,0.0335,0.1011,61.14
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.15,0.215,0.135,0.38,0.12,,,23.0
5,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,,,0.15,0.215,0.135,0.38,0.12,,,60.0
2,O=C(O)C1CCCC(C(=O)O)C1,OCCCCO,,,,,,0.5,0.5,,,,,,-12.0
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.149,0.351,0.2265,0.005,0.2685,,,31.76
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCCC(CO)C1,CCC(CO)(CO)CO,,,0.05,0.3295,0.1205,0.466,0.034,,,59.35
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5,0.183,0.041,0.276,,,,48.24
2,O=C(O)C1CCCC(C(=O)O)C1,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,42.0
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5003,0.1811,0.0405,0.2781,,,,55.52
4,O=C(O)C1CCC(C(=O)O)CC1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,,,0.5,0.37,0.11,0.02,,,,28.0
5,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.4295,0.0705,0.1935,0.0195,0.287,,,56.52
2,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,82.0
4,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CC(CO)CO,,,,0.145,0.355,0.2255,0.2745,,,,36.7
2,O=C(O)c1ccc(C(=O)O)cc1,OCCOCCO,,,,,,0.5,0.5,,,,,,21.0
2,O=C(O)CCCCCCCCC(=O)O,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,-41.12
2,O=C(O)C1CCC(C(=O)O)CC1,OCCCCO,,,,,,0.5,0.5,,,,,,-12.0
2,O=C(O)C1CCCC(C(=O)O)C1,OCCCO,,,,,,0.5,0.5,,,,,,-3.0
4,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCCC(CO)C1,CCC(CO)(CO)CO,,,,0.351,0.149,0.464,0.036,,,,65.55
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1455,0.3545,0.2285,0.005,0.2665,,,34.49
6,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.1526,0.2486,0.0985,0.2696,0.2266,0.004,,85.75
7,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,0.0255,0.3382,0.1361,0.1871,0.2276,0.0355,0.05,85.32
2,O=C(O)CCCCCCCCC(=O)O,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,-40.55
2,O=C(O)CCCCC(=O)O,OCCCO,,,,,,0.5,0.5,,,,,,-57.0
2,O=C(O)c1cccc(C(=O)O)c1,OCCCCCCO,,,,,,0.5,0.5,,,,,,3.0
2,O=C(O)C1CCCC(C(=O)O)C1,CC(C)(CO)CO,,,,,,0.5,0.5,,,,,,19.0
2,O=C(O)C1CCCCC1C(=O)O,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,38.0
2,O=C(O)CCCCCCCCC(=O)O,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,-40.86
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1535,0.3465,0.2125,0.0785,0.209,,,19.0
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCCC(CO)C1,CCC(CO)(CO)CO,,,0.05,0.33,0.12,0.465,0.035,,,59.66
2,O=C(O)C1CCC(C(=O)O)CC1,CC1(C)C(O)C(C)(C)C1O,,,,,,0.5,0.5,,,,,,80.0
2,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,,,,,,0.5,0.5,,,,,,76.0
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.3515,0.1485,0.1265,0.1145,0.2535,0.0055,,91.7
6,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.153,0.249,0.098,0.2955,0.2005,0.004,,81.65
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.154,0.346,0.212,0.038,0.25,,,24.0
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1495,0.3505,0.2285,0.0045,0.267,,,35.54
2,O=C(O)C1CCCC(C(=O)O)C1,CC1(C)C(O)C(C)(C)C1O,,,,,,0.5,0.5,,,,,,76.0
2,O=C(O)C1CCC(C(=O)O)CC1,OCCO,,,,,,0.5,0.5,,,,,,13.0
2,O=C(O)CCCCC(=O)O,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,-21.0
4,O=C(O)C1CCC(C(=O)O)CC1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,,,0.5,0.38,0.11,0.01,,,,24.0
2,O=C(O)CCCCCCCCC(=O)O,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,-40.74
2,O=C(O)CCCCC(=O)O,OCCOCCO,,,,,,0.5,0.5,,,,,,-46.0
2,O=C(O)C1CCCC(C(=O)O)C1,OCCCCCCO,,,,,,0.5,0.5,,,,,,-28.0
2,O=C(O)c1ccccc1C(=O)O,OCCCO,,,,,,0.5,0.5,,,,,,10.0
2,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,,,,,,0.5,0.5,,,,,,91.0
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.146,0.354,0.228,0.0125,0.2595,,,35.03
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,,0.1791,0.3212,0.2421,0.2176,0.04,,,23.0
2,O=C(O)c1cccc(C(=O)O)c1,OCCOCCO,,,,,,0.5,0.5,,,,,,21.0
6,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.2,0.185,0.115,0.37,0.11,0.02,,22.0
6,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.3515,0.1485,0.121,0.1185,0.255,0.0055,,92.63
2,O=C(O)C1CCCC(C(=O)O)C1,OCCOCCO,,,,,,0.5,0.5,,,,,,-11.0
4,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CC(CO)CO,,,,0.1455,0.3545,0.2265,0.2735,,,,31.91
5,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.5,0.143,0.097,0.017,0.243,,,60.4
2,O=C(O)C1CCCCC1C(=O)O,OCCCCO,,,,,,0.5,0.5,,,,,,-8.0
2,O=C(O)c1ccccc1C(=O)O,CC1(C)C(O)C(C)(C)C1O,,,,,,0.5,0.5,,,,,,92.0
5,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCCC(CO)C1,CCC(CO)(CO)CO,,,0.0255,0.338,0.1365,0.468,0.032,,,55.58
5,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,0.4395,0.0605,0.1935,0.02,0.2865,,,58.66
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5,0.19,0.0195,0.2905,,,,49.05
5,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.425,0.075,0.25,0.01,0.24,,,78.04
6,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,CC(C)(CO)CO,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.15,0.215,0.135,0.37,0.12,0.01,,22.0
2,O=C(O)c1ccccc1C(=O)O,OCC1CCCC(CO)C1,,,,,,0.5,0.5,,,,,,11.0
2,O=C(O)c1ccc(C(=O)O)cc1,CC1(C)C(O)C(C)(C)C1O,,,,,,0.5,0.5,,,,,,196.0
4,O=C(O)CCCCCCCCC(=O)O,O=C(O)c1ccc(C(=O)O)cc1,CCC(CO)(CO)CO,OCC1CC2C3CC(CO)C(C3)C2C1,,,,0.0515,0.4485,0.033,0.467,,,,77.77
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.146,0.354,0.2335,0.0035,0.263,,,31.94
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5003,0.1931,0.0185,0.2881,,,,54.81
6,O=C(O)C1CCC(C(=O)O)CC1,O=C(O)c1cccc(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,OCC1CCC(CO)CC1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,,0.1481,0.2421,0.1101,0.2426,0.2536,0.0035,,89.52
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1455,0.3545,0.229,0.0035,0.2675,,,35.5
5,O=C(O)CCCCC(=O)O,O=C(O)c1cccc(C(=O)O)c1,CC1(C)C(O)C(C)(C)C1O,CCC(CO)(CO)CO,CC(CO)CO,,,0.1425,0.3575,0.2305,0.0055,0.264,,,32.26
4,O=C(O)c1cccc(C(=O)O)c1,OCC1CCC(CO)CC1,CCC(CO)(CO)CO,CC(CO)CO,,,,0.5003,0.1816,0.0415,0.2766,,,,53.51
