smiles,value,Unnamed: 2
COC(=S)c1ccc(-c2ccc(O)cc2)cc1,-6.29,
CC(=O)c1ccc(OC(=S)C(=O)c2ccc(OC(C)=S)cc2)cc1,-6.3,
CC(=O)c1ccc(-c2ccc(C(C)=S)s2)s1,-6.22,
CNC(=S)Nc1ccc(NC(=S)Nc2ccc(N)cc2)cc1,-6.09,
CC(=O)c1ccc(-c2ccc(C(C)=S)s2)cc1,-6.3,
CNCCCNCCCNCCCN,-5.18,
CNC(=O)c1ccc(-c2ccc(N)cc2)cc1,-6.4,
COc1ccc(C(=O)COc2ccc(C(=O)CO)s2)s1,-6.03,
Cc1ccc(C(=O)C(F)(F)C(C)(F)F)s1,-5.86,
CCCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(C)=O,-5.41,
COc1ccc(Oc2ccc(O)cc2)s1,-6.18,
CCc1ccc(-c2ccc(-c3ccc(C)cc3)s2)cc1,-6.2,
CNc1ccc(-c2ccc(C(N)=S)cc2)cc1,-6.25,
COc1ccc(-c2ccc(-c3ccc(O)cc3)s2)cc1,-6.29,
COCOCOCOCOCOCO,-5.32,
COc1ccc(C(=O)c2ccc(O)cc2)cc1,-6.4,
CNc1ccc(Nc2ccc(N)s2)s1,-5.96,
NONc1ccc(NONc2ccc(NO)cc2)cc1,-5.91,
CNc1ccc(Nc2ccc(N)s2)cc1,-6.11,
COC(=O)OC(=O)OC(=O)OC(=O)O,-6.78,
CCCCC(=S)CCCC(=S)CCCC(C)=S,-5.22,
Cc1ccc(C(F)(F)NC(C)(F)F)s1,-5.66,
Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)cc3)s2)cc1,-6.28,
CCC(CC(CC(CC(C)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,-5.9,
CNCC(F)(F)C(F)(F)NCC(F)(F)C(N)(F)F,-5.24,
CCc1ccc(-c2ccc(C(C)=S)cc2)s1,-6.05,
CCC(=O)c1ccc(C(=S)CC(=O)c2ccc(C(C)=S)cc2)cc1,-6.15,
CNc1ccc(-c2ccc(C(N)=S)s2)s1,-6.05,
CNC(=S)Nc1ccc(NC(=S)NCCCCCCN)cc1,-5.61,
CCCc1ccc(C(=S)CCc2ccc(C(C)=S)cc2)cc1,-5.87,
CCONC(=O)CONC(=O)CONC(C)=O,-5.69,
COC(=O)c1ccc(C(=O)O)cc1,-6.57,
CCC(=S)NC(=S)CC(=S)NC(C)=S,-5.43,
NOc1ccc(C(=O)NOc2ccc(C(=O)NO)cc2)cc1,-6.24,
Cc1ccc(C(F)(F)c2ccc(C(C)(F)F)s2)s1,-5.83,
COc1ccc(OCOc2ccc(OCO)cc2)cc1,-6.03,
COC(F)(F)c1ccc(C(O)(F)F)s1,-5.68,
CNC(=O)OC(=S)NC(=O)OC(N)=S,-6.1,
COC(=S)C(F)(F)C(F)(F)OC(=S)C(F)(F)C(O)(F)F,-5.26,
CCNC(=O)c1ccc(CNC(=O)c2ccc(C)s2)s1,-6.02,
CCc1ccc(Nc2ccc(C)cc2)cc1,-6.15,
CCC(=S)OC(=S)CC(=S)OC(C)=S,-5.45,
CCC(=O)C(=S)c1ccc(CC(=O)C(=S)c2ccc(C)cc2)cc1,-6.15,
CCCC(=O)c1ccc(CCC(=O)c2ccc(C)s2)s1,-5.9,
CNC(F)(F)CC(F)(F)NC(F)(F)CC(N)(F)F,-5.26,
COC(=O)C(=S)COC(=O)C(=S)CO,-5.84,
COc1ccc(-c2ccc(C(=O)O)s2)cc1,-6.38,
CCc1ccc(NC(=S)Cc2ccc(NC(C)=S)s2)s1,-5.77,
COc1ccc(-c2ccc(-c3ccc(O)cc3)s2)s1,-6.21,
NOc1ccc(C(=S)NOc2ccc(C(=S)NO)s2)s1,-5.82,
COC(=S)c1ccc(COC(=S)c2ccc(CO)cc2)cc1,-6.0,
CC(=O)c1ccc(C(=O)c2ccc(C)s2)cc1,-6.45,
CNC(=O)NC(=O)NCNCNC(=O)NC(=O)NCNCN,-5.84,
Cc1ccc(-c2ccc(C(F)(F)C(C)(F)F)cc2)cc1,-6.1,
CONC(=O)NOC(=O)NCONC(=O)NOC(=O)NCO,-5.82,
COCc1ccc(COCc2ccc(CO)s2)s1,-5.68,
CC(=O)Oc1ccc(C(=S)C(=O)Oc2ccc(C(C)=S)cc2)cc1,-6.32,
CNc1ccc(NCNc2ccc(NCN)s2)s1,-5.7,
Cc1ccc(C)s1,-6.18,
CCCc1ccc(C(=S)CCc2ccc(C(C)=S)s2)s1,-5.69,
COc1ccc(NCOc2ccc(NCO)cc2)cc1,-5.98,
COCC(=S)c1ccc(C(=S)Cc2ccc(-c3ccc(O)cc3)cc2)s1,-6.04,
NOc1ccc(C(=O)NOc2ccc(C(=O)NO)s2)s1,-6.08,
COc1ccc(-c2ccc(CO)s2)s1,-5.95,
CONC(=S)CONC(=S)CONC(=S)CO,-5.27,
CSCCCCCSCCCCCS,-5.03,
COCOCCCNCOCOCCCNCO,-5.21,
CCC(=O)NC(=S)CC(=O)NC(C)=S,-5.8,
CCC(=O)OC(=S)CC(=O)OC(C)=S,-5.87,
Cc1ccc(C(F)(F)C(=O)C(C)(F)F)s1,-5.82,
CNC(=O)CNC(=O)CNC(=O)CN,-5.91,
COC(=S)C(=O)COC(=S)C(=O)CO,-5.8,
CCC(=S)C(=O)C(=S)CC(=S)C(=O)C(C)=S,-5.79,
NOc1ccc(ONOc2ccc(ONO)cc2)cc1,-5.98,
COC(=O)Nc1cc(NC(=O)OCCCCCO)ccc1C,-5.79,
CN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCCCCCN)C4=O)cc2C1=O,-6.25,
CNCCCNC(=O)NC(=O)NCCCNC(=O)NC(N)=O,-5.77,
Cc1ccc(OC(=S)c2ccc(C)s2)cc1,-6.21,
COC(=O)c1ccc(C(=O)OCCCCO)cc1,-5.97,
CCC(C)(F)F,-5.21,
CNc1ccc(-c2ccc(-c3ccc(N)cc3)s2)cc1,-6.26,
Cc1ccc(-c2ccc(C(F)(F)C(C)(F)F)s2)s1,-5.87,
CNC(=O)c1ccc(C(=O)NC(=O)c2ccc(C(N)=O)s2)s1,-6.4,
CC(=S)CC(F)(F)C(F)(F)C(=S)CC(F)(F)C(C)(F)F,-5.19,
CNC(=O)Oc1ccc(NC(=O)Oc2ccc(N)s2)s1,-6.2,
CCC(=O)Cc1ccc(CC(=O)Cc2ccc(C)s2)s1,-5.87,
CNc1ccc(-c2ccc(-c3ccc(N)s3)s2)cc1,-6.18,
CC(=O)c1ccc(-c2ccc(C(C)=S)cc2)cc1,-6.37,
Cc1ccc(NC(F)(F)C(C)(F)F)s1,-5.66,
COC(F)(F)C(=S)C(F)(F)OC(F)(F)C(=S)C(O)(F)F,-5.24,
CCC(=O)c1ccc(C(=S)CC(=O)c2ccc(C(C)=S)s2)s1,-6.0,
COc1ccc(NCOc2ccc(NCO)s2)s1,-5.74,
CCCC(=O)c1ccc(CCC(=O)c2ccc(C)cc2)cc1,-6.05,
CNCNCNCNCNCNCN,-5.22,
CCNCc1ccc(CNCc2ccc(C)cc2)cc1,-5.84,
CCNC(=S)c1ccc(CNC(=S)c2ccc(C)s2)s1,-5.79,
COc1ccc(-c2ccc(-c3ccc(O)cc3)cc2)s1,-6.29,
COCC(=S)COCC(=S)COCC(=S)CO,-5.27,
COC(=O)CCOC(=O)CCOC(=O)CCO,-5.73,
Cc1ccc(-c2ccc(C(=S)c3ccc(C)s3)s2)cc1,-6.22,
CCNc1ccc(C(=O)CNc2ccc(C(C)=O)s2)s1,-6.0,
CNc1ccc(OC(=S)Nc2ccc(OC(N)=S)s2)s1,-5.92,
COC(CO)C(F)(F)F,-5.24,
CCc1ccc(-c2ccc(C(C)=S)cc2)cc1,-6.17,
CNC(=O)C(=S)c1ccc(NC(=O)C(=S)c2ccc(N)cc2)cc1,-6.26,
COc1ccc(Cc2ccc(O)cc2)cc1,-6.18,
CNc1ccc(C(=O)c2ccc(N)s2)cc1,-6.29,
Cc1ccc(C(F)(F)CC(C)(F)F)s1,-5.59,
CCC(=O)C(=S)c1ccc(CC(=O)C(=S)c2ccc(C)s2)s1,-6.0,
CCCc1ccc(-c2ccc(C)s2)s1,-5.86,
CC(=S)OC(=S)c1ccc(C(=S)OC(=S)c2ccc(C)cc2)cc1,-6.13,
CC(=O)c1ccc(-c2ccc(-c3ccc(C)cc3)s2)cc1,-6.38,
COC(=O)c1ccc(COC(=O)c2ccc(CO)s2)s1,-6.07,
CNc1ccc(C(=S)c2ccc(N)cc2)s1,-6.15,
CCCc1ccc(-c2ccc(C)cc2)cc1,-6.09,
COC(F)(F)OC(F)(F)OC(F)(F)OC(O)(F)F,-5.25,
COCCOCCOCCOCCO,-5.21,
Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)cc3)cc2)cc1,-6.34,
CCc1ccc(C(N)=O)cc1Cc1ccc(C(N)=O)cc1C,-6.17,
COc1ccc(C(F)(F)C(O)(F)F)s1,-5.67,
CCC(=O)Cc1ccc(CC(=O)Cc2ccc(C)cc2)cc1,-6.05,
COC(=O)OCCCCCOC(=O)OCCCCCO,-5.46,
CC(=O)c1ccc(C(=S)c2ccc(C)cc2)cc1,-6.38,
CCc1ccc(Nc2ccc(C)s2)s1,-5.9,
CNc1ccc(N)cc1,-6.21,
CC(=O)CC(F)(F)C(F)(F)C(=O)CC(F)(F)C(C)(F)F,-5.5,
COc1ccc(-c2ccc(CO)s2)cc1,-6.09,
CCNOc1ccc(CNOc2ccc(C)s2)s1,-5.66,
CCNCC(=S)CNCC(=S)CNCC(C)=S,-5.26,
COC(=O)C(=S)C(=O)OC(=O)C(=S)C(=O)O,-6.47,
COc1ccc(OCOc2ccc(OCO)s2)s1,-5.78,
CC(=O)C(F)(F)NC(F)(F)C(=O)C(F)(F)NC(C)(F)F,-5.56,
CCc1ccc(-c2ccc(-c3ccc(C)s3)cc2)s1,-6.12,
NONC(=S)NONC(=S)NONC(=S)NO,-5.23,
CC(=O)NC(=O)c1ccc(C(=O)NC(=O)c2ccc(C)cc2)cc1,-6.48,
CNc1ccc(-c2ccc(-c3ccc(N)s3)s2)s1,-6.09,
CNC(=O)NC(=O)c1ccc(C(=S)c2ccc(-c3ccc(N)s3)s2)s1,-6.19,
CCC(C)F,-5.18,
COc1ccc(C(=O)COc2ccc(C(=O)CO)cc2)cc1,-6.19,
Cc1ccc(C)cc1,-6.39,
CCCCc1ccc(CCCc2ccc(C)cc2)cc1,-5.78,
COc1ccc(C(=S)COc2ccc(C(=S)CO)cc2)cc1,-5.99,
CNc1ccc(C(=S)c2ccc(N)cc2)cc1,-6.23,
CCNCC(=O)CNCC(=O)CNCC(C)=O,-5.59,
COc1ccc(C(=S)c2ccc(O)s2)s1,-6.04,
CC(=S)c1ccc(C(F)(F)C(C)(F)F)cc1,-5.85,
CCC(=O)c1ccc(-c2ccc(C)cc2)cc1,-6.29,
COc1ccc(-c2ccc(C(=O)O)cc2)cc1,-6.44,
CNc1ccc(NC(=S)Nc2ccc(NC(N)=S)s2)s1,-5.89,
COC(=S)NCOC(=S)NCOC(=S)NCO,-5.49,
COC(=O)Nc1cc(NC(=O)OCCOCCO)ccc1C,-5.83,
CNC(=O)Nc1ccc(NC(=O)Nc2ccc(N)cc2)cc1,-6.31,
CCC(=O)Nc1ccc(CC(=O)Nc2ccc(C)cc2)cc1,-6.16,
CCc1ccc(Cc2ccc(C)cc2)cc1,-6.09,
CC(=O)C(F)(F)C(=O)C(F)(F)C(=O)C(F)(F)C(=O)C(C)(F)F,-5.77,
COC(=S)OC(=O)OC(=S)OC(=O)O,-6.2,
CCCCC(=O)CCCC(=O)CCCC(C)=O,-5.52,
CCc1ccc(Cc2ccc(C)s2)cc1,-5.99,
CNC(=O)NC(=S)NC(=O)NC(N)=S,-6.02,
COCCC(=O)CC(=O)Oc1ccc(O)cc1,-6.01,
CC(=O)c1ccc(OC(=S)C(=O)c2ccc(OC(C)=S)s2)s1,-6.17,
COC(F)(F)CC(F)(F)OC(F)(F)CC(O)(F)F,-5.25,
CC(=S)c1ccc(C(=S)c2ccc(C)cc2)cc1,-6.17,
COC(F)(F)C(=O)C(F)(F)OC(F)(F)C(=O)C(O)(F)F,-5.57,
COC(CCO)(C(F)(F)F)C(F)(F)F,-5.18,
CC(=O)C(F)(F)CC(F)(F)C(=O)C(F)(F)CC(C)(F)F,-5.48,
COC(=O)OCCOCCOC(=O)OCCOCCO,-5.52,
CNC(=S)C(=O)C(=S)NC(=S)C(=O)C(N)=S,-5.94,
COC(=O)CCCCC(=O)OCCO,-5.59,
CC(=S)c1ccc(C(F)(F)C(C)(F)F)s1,-5.66,
CNc1ccc(Oc2ccc(N)cc2)cc1,-6.26,
CC(=S)C(F)(F)CC(F)(F)C(=S)C(F)(F)CC(C)(F)F,-5.2,
CNc1ccc(-c2ccc(C(N)=O)s2)s1,-6.22,
COC(=S)Oc1ccc(OC(=S)Oc2ccc(O)cc2)cc1,-6.18,
CNC(=O)C(=S)C(=O)NC(=O)C(=S)C(N)=O,-6.35,
CCNCc1ccc(CNCc2ccc(C)s2)s1,-5.61,
CCCC(=O)OC(=O)Cc1ccc(-c2ccc(C)cc2)cc1,-6.14,
CC(=S)c1ccc(-c2ccc(-c3ccc(C)cc3)cc2)s1,-6.27,
CC(=S)OC(=S)c1ccc(C(=S)OC(=S)c2ccc(C)s2)s1,-5.95,
CCC(=S)CC(=S)CC(=S)CC(C)=S,-5.3,
CC(=S)C(F)(F)NC(F)(F)C(=S)C(F)(F)NC(C)(F)F,-5.29,
NOC(=O)c1ccc(NOC(=O)c2ccc(NO)cc2)cc1,-6.22,
COC(=S)Oc1ccc(OC(=S)Oc2ccc(O)s2)s1,-5.94,
CCc1ccc(C(=O)c2ccc(C)s2)cc1,-6.2,
CNC(=O)Oc1ccc(NC(=O)Oc2ccc(N)cc2)cc1,-6.35,
CC(=O)c1ccc(-c2ccc(-c3ccc(C)s3)s2)s1,-6.27,
CCc1ccc(C(=O)c2ccc(C)s2)s1,-6.08,
CCC(=O)OC(=O)CC(=O)OC(C)=O,-6.3,
NONC(=O)NONC(=O)NONC(=O)NO,-5.7,
CC(=O)c1ccc(C(=O)C(C)=S)cc1,-6.42,
CNc1ccc(-c2ccc(CN)cc2)cc1,-6.15,
CNONCNONCNONCN,-5.01,
CCNCCNC(=O)OCCNCCNC(=O)OCC,-5.49,
Cc1ccc(C(=S)c2ccc(-c3ccc(C)s3)s2)cc1,-6.22,
COC(=S)CCOC(=S)CCOC(=S)CCO,-5.34,
CCC(=O)c1ccc(-c2ccc(C)s2)cc1,-6.2,
CC(=O)c1ccc(Oc2ccc(C)s2)cc1,-6.33,
CC(=O)c1ccc(-c2ccc(-c3ccc(C)s3)cc2)s1,-6.34,
CNC(=O)CCCCCCNC(=O)CCCCCCN,-5.39,
COc1ccc(CCOc2ccc(CCO)s2)s1,-5.67,
CCCNc1ccc(CCNc2ccc(C)s2)s1,-5.63,
CC(=S)C(F)(F)c1ccc(C(C)(F)F)cc1,-5.84,
CCc1ccc(-c2ccc(-c3ccc(C)s3)s2)cc1,-6.12,
CCC(=O)Nc1ccc(CC(=O)Nc2ccc(C)s2)s1,-6.01,
CCc1ccc(Nc2ccc(C)s2)cc1,-6.04,
CC(=S)c1ccc(C(=S)c2ccc(C)cc2)s1,-6.16,
CNc1ccc(Oc2ccc(N)s2)s1,-5.99,
CNc1ccc(C(=S)c2ccc(N)s2)s1,-6.0,
Cc1ccc(-c2nc3cc4nc(C)oc4cc3o2)cc1,-6.82,
COc1ccc(-c2ccc(C(=O)O)s2)s1,-6.27,
CNc1ccc(-c2ccc(-c3ccc(N)s3)cc2)cc1,-6.26,
CCC(=O)NC(=O)CC(=O)NC(C)=O,-6.2,
CCCC(=O)C(=S)CCC(=O)C(C)=S,-5.61,
CONc1ccc(CONc2ccc(CO)cc2)cc1,-5.9,
CC(=S)C(=O)CCNc1ccc(C(=S)c2ccc(C)cc2)cc1,-6.05,
NOC(=O)c1ccc(NOC(=O)c2ccc(NO)s2)s1,-6.14,
Cc1ccc(-c2ccc(Oc3ccc(C)s3)s2)cc1,-6.21,
COc1ccc(C(F)(F)C(O)(F)F)cc1,-5.89,
COc1ccc(OC(=O)O)cc1,-6.41,
CNc1ccc(C(=O)C(=S)Nc2ccc(C(=O)C(N)=S)cc2)cc1,-6.27,
COC(=S)c1ccc(C(=O)OC(=S)c2ccc(C(=O)O)cc2)cc1,-6.35,
Cc1ccc(NC(F)(F)C(C)(F)F)cc1,-5.86,
CNc1ccc(C(=O)C(=S)Nc2ccc(C(=O)C(N)=S)s2)s1,-6.15,
CCC(=O)c1ccc(-c2ccc(C)s2)s1,-6.12,
NOC(=S)ONOC(=S)ONOC(=S)ONO,-5.2,
CNC(=S)Nc1ccc(Cc2ccc(N)cc2)cc1,-6.09,
CNC(=O)c1ccc(C(=S)NC(=O)c2ccc(C(N)=S)cc2)cc1,-6.28,
Cc1ccc(CC(F)(F)C(C)(F)F)cc1,-5.78,
CCNc1ccc(-c2ccc(C)cc2)s1,-6.04,
CCc1ccc(Oc2ccc(C)s2)s1,-5.92,
CNc1ccc(-c2ccc(CN)s2)s1,-5.92,
CCc1ccc(C(=O)c2ccc(C)cc2)cc1,-6.29,
CCc1ccc(C(=S)c2ccc(C)s2)s1,-5.94,
CNC(=S)Nc1ccc(NC(=S)Nc2ccc(Cc3ccc(N)cc3)cc2)cc1,-6.09,
COc1ccc(-c2ccc(C(=O)O)cc2)s1,-6.35,
CNc1ccc(-c2ccc(-c3ccc(N)s3)cc2)s1,-6.18,
COc1ccc(-c2ccc(-c3ccc(O)cc3)cc2)cc1,-6.34,
CC(=S)Oc1ccc(-c2ccc(C)s2)s1,-6.07,
CNC(=S)Nc1ccc(NC(=S)Nc2ccc(Oc3ccc(N)cc3)cc2)cc1,-6.15,
CNC(=O)CCNC(=O)CCNC(=O)CCN,-5.69,
CCC(=S)c1ccc(C(=S)CC(=S)c2ccc(C(C)=S)s2)s1,-5.78,
COc1ccc(C(=S)COc2ccc(C(=S)CO)s2)s1,-5.8,
CNc1ccc(-c2ccc(C(=S)c3ccc(-c4ccc(Nc5ccc(N)cc5)s4)s3)s2)s1,-6.12,
CC(=O)c1ccc(C(=S)c2ccc(C)s2)s1,-6.19,
Cc1cccc(C)n1,-6.6,
CNc1ccc(OC(=S)Nc2ccc(OC(N)=S)cc2)cc1,-6.14,
CCc1ccc(-c2ccc(C(C)=S)s2)cc1,-6.08,
CCc1ccc(OC(=S)Cc2ccc(OC(C)=S)cc2)cc1,-6.0,
COCCCOCCCOCCCO,-5.2,
CONOCONOCONOCO,-5.08,
CC(=S)Oc1ccc(-c2ccc(C)cc2)s1,-6.17,
CCc1ccc(NC(=S)Cc2ccc(NC(C)=S)cc2)cc1,-5.97,
COc1ccc(OC(=O)Oc2ccc(OC(=O)O)s2)s1,-6.25,
CCC(=O)C(=S)C(=O)CC(=O)C(=S)C(C)=O,-6.06,
CC(=S)c1ccc(-c2ccc(-c3ccc(C)s3)s2)s1,-6.13,
Cc1ccc(C(F)(F)C(=O)C(C)(F)F)cc1,-6.01,
COCOCCCCCOCOCCCCCO,-5.2,
COCCCOCOCOCCCOCOCO,-5.22,
CC(=O)c1ccc(-c2ccc(-c3ccc(C)s3)s2)cc1,-6.31,
CNc1ccc(-c2ccc(C(N)=S)s2)cc1,-6.18,
