smiles,value,Unnamed: 2
CCc1ccc(-c2ccc(C(C)=S)cc2)cc1,-6.17,
Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)cc3)s2)cc1,-6.28,
CNC(=O)NC(=S)NC(=O)NC(N)=S,-6.02,
COCOCCCCCOCOCCCCCO,-5.2,
CNc1cccc(C(N)=O)c1,-6.41,
CCC(CC(CC(CC(C)c1ccccc1)c1ccccc1)c1ccccc1)c1ccccc1,-5.9,
CC(=S)Oc1ccc(-c2ccc(C)cc2)s1,-6.17,
COc1ccc(C(=O)COc2ccc(C(=O)CO)s2)s1,-6.03,
CNC(=O)OC(=S)NC(=O)OC(N)=S,-6.1,
CCNCC(=O)CNCC(=O)CNCC(C)=O,-5.59,
COc1ccc(C(F)(F)C(O)(F)F)s1,-5.67,
COC(=O)CCCCCCC(=O)OCCO,-5.5,
CCONC(=O)CONC(=O)CONC(C)=O,-5.69,
CNc1ccc(OC(=S)Nc2ccc(OC(N)=S)s2)s1,-5.92,
COCOCOCOCOCOCO,-5.32,
COc1ccc(C(=S)c2ccc(O)cc2)cc1,-6.28,
CCC(=O)c1ccc(C(=O)CC(=O)c2ccc(C(C)=O)cc2)cc1,-6.34,
COC(CO)C(F)(F)F,-5.24,
CNc1ccc(C(=S)c2ccc(N)cc2)cc1,-6.23,
Cc1ccc(C(F)(F)c2ccc(C(C)(F)F)s2)s1,-5.83,
COC(=S)CCOC(=S)CCOC(=S)CCO,-5.34,
CC(=O)c1ccc(C(=O)c2ccc(C)cc2)cc1,-6.51,
CNc1ccc(-c2ccc(C(N)=S)s2)s1,-6.05,
CC(=S)c1ccc(C(F)(F)C(C)(F)F)cc1,-5.85,
COC(=O)CCOC(=O)CCOC(=O)CCO,-5.73,
Cc1ccc(C(F)(F)CC(C)(F)F)s1,-5.59,
CNc1ccc(-c2ccc(C(N)=S)cc2)s1,-6.15,
NONc1ccc(NONc2ccc(NO)cc2)cc1,-5.91,
COC(=S)Oc1ccc(OC(=S)Oc2ccc(O)cc2)cc1,-6.18,
CCCNC(=S)CCNC(=S)CCNC(C)=S,-5.36,
COc1ccc(C(=S)COc2ccc(C(=S)CO)s2)s1,-5.8,
Cc1ccc(-c2ccc(Oc3ccc(C)s3)s2)cc1,-6.21,
CC(=S)OC(=S)c1ccc(C(=S)OC(=S)c2ccc(C)s2)s1,-5.95,
CCc1ccc(C(=S)c2ccc(C)s2)s1,-5.94,
COc1ccc(-c2ccc(C(=O)O)s2)s1,-6.27,
CCc1ccc(CC(=S)Cc2ccc(CC(C)=S)cc2)cc1,-5.85,
CNc1ccc(Oc2ccc(N)s2)s1,-5.99,
CNc1ccc(-c2ccc(-c3ccc(N)s3)s2)cc1,-6.18,
NOc1ccc(C(=S)NOc2ccc(C(=S)NO)cc2)cc1,-6.02,
COc1ccc(Oc2ccc(O)s2)s1,-6.02,
COCCCOCCCOCCCO,-5.2,
CNc1ccc(Oc2ccc(N)s2)cc1,-6.14,
CCCNc1ccc(CCNc2ccc(C)cc2)cc1,-5.85,
CC(=O)c1ccc(-c2ccc(-c3ccc(C)s3)cc2)cc1,-6.38,
CNC(=O)C(=S)c1ccc(NC(=O)C(=S)c2ccc(N)s2)s1,-6.16,
COCOCNC(=O)NCOCOCNC(=O)NCO,-5.58,
CC(=O)c1ccc(OC(=S)C(=O)c2ccc(OC(C)=S)cc2)cc1,-6.3,
Cc1ccc(-c2ccc(C(=S)c3ccc(C)s3)s2)cc1,-6.22,
COC(=S)OC(=O)OC(=S)OC(=O)O,-6.2,
CC(=S)C(F)(F)CC(F)(F)C(=S)C(F)(F)CC(C)(F)F,-5.2,
CNC(=O)C(=S)c1ccc(NC(=O)C(=S)c2ccc(N)cc2)cc1,-6.26,
COc1ccc(-c2ccc(CO)s2)s1,-5.95,
Cc1ccc(C(=O)C(F)(F)C(C)(F)F)s1,-5.86,
CNc1ccc(-c2ccc(-c3ccc(N)s3)cc2)s1,-6.18,
CNC(F)(F)NC(F)(F)NC(F)(F)NC(N)(F)F,-5.31,
COC(=O)c1ccc(COC(=O)c2ccc(CO)s2)s1,-6.07,
COc1ccc(C(=S)COc2ccc(C(=S)CO)cc2)cc1,-5.99,
COc1ccc(CC(=O)O)cc1,-6.21,
COC(=O)Nc1cc(NC(=O)OCCOCCO)ccc1C,-5.83,
CCNc1ccc(C(=O)CNc2ccc(C(C)=O)cc2)cc1,-6.14,
CNONCNONCNONCN,-5.01,
CCCCOC(=O)CCCCCCCCOC(=O)CCCOC(=O)CCCCCCCCOC(C)=O,-5.41,
COC(=S)c1ccc(C(=O)OC(=S)c2ccc(C(=O)O)s2)s1,-6.21,
COC(F)(F)CC(F)(F)OC(F)(F)CC(O)(F)F,-5.25,
CCc1ccc(Nc2ccc(C)s2)s1,-5.9,
CCNCCNC(=O)OCCNCCNC(=O)OCC,-5.49,
CNC(=O)Nc1ccc(NC(=O)Nc2ccc(N)cc2)cc1,-6.31,
CC(=O)c1ccc(-c2ccc(C(C)=S)cc2)s1,-6.29,
CCC(=O)c1ccc(C(=S)CC(=O)c2ccc(C(C)=S)cc2)cc1,-6.15,
CC(=O)C(F)(F)CC(F)(F)C(=O)C(F)(F)CC(C)(F)F,-5.48,
CCc1ccc(C(=O)O)cc1Cc1ccc(C(=O)O)cc1C,-6.22,
CC(=O)Oc1ccc(C(=S)C(=O)Oc2ccc(C(C)=S)s2)s1,-6.21,
CCc1ccc(Nc2ccc(C)s2)cc1,-6.04,
CC(=O)NC(=O)c1ccc(C(=O)NC(=O)c2ccc(C)cc2)cc1,-6.48,
COC(=S)C(=O)COC(=S)C(=O)CO,-5.8,
CCC(=O)NC(=O)CC(=O)NC(C)=O,-6.2,
COc1ccc(NCOc2ccc(NCO)s2)s1,-5.74,
COc1ccc(-c2ccc(-c3ccc(O)cc3)cc2)s1,-6.29,
CC(=O)c1ccc(OC(=S)C(=O)c2ccc(OC(C)=S)s2)s1,-6.17,
CCC(=O)C(=S)c1ccc(CC(=O)C(=S)c2ccc(C)cc2)cc1,-6.15,
Cc1ccc(-c2nc3cc4nc(C)oc4cc3o2)cc1,-6.82,
CCc1ccc(-c2ccc(-c3ccc(C)cc3)cc2)cc1,-6.26,
CNC(=O)OC(=O)NC(=O)OC(N)=O,-6.61,
NOC(=O)ONOC(=O)ONOC(=O)ONO,-5.77,
CNCNC(=O)OC(=O)NC(=O)NCNC(=O)OC(=O)NC(N)=O,-6.22,
CCNOc1ccc(CNOc2ccc(C)cc2)cc1,-5.9,
COC(=O)c1ccc(C(=O)OCCCCO)cc1,-5.97,
COC(=O)OCOC(=O)OCOC(=O)OCO,-5.97,
CCC(=O)CC(=S)CC(=O)CC(C)=S,-5.62,
CC(N)COCC(C)OCCOCCOCC(C)N1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(C)C4=O)cc2C1=O,-5.89,
COC(=O)c1ccc(C(=O)O)cc1,-6.57,
CCc1ccc(Nc2ccc(C)cc2)cc1,-6.15,
CCC(=O)c1ccc(C(=S)CC(=O)c2ccc(C(C)=S)s2)s1,-6.0,
COc1ccc(-c2ccc(CO)cc2)cc1,-6.2,
COC(=O)C(=S)COC(=O)C(=S)CO,-5.84,
CC(=O)c1ccc(C(=O)c2ccc(C)s2)cc1,-6.45,
CONC(=S)CONC(=S)CONC(=S)CO,-5.27,
CONc1ccc(CONc2ccc(CO)cc2)cc1,-5.9,
CC(=S)c1ccc(C(F)(F)C(C)(F)F)s1,-5.66,
CCCc1ccc(C(=S)CCc2ccc(C(C)=S)s2)s1,-5.69,
CCC(=S)C(=O)C(=S)CC(=S)C(=O)C(C)=S,-5.79,
CNc1ccc(-c2ccc(-c3ccc(N)s3)cc2)cc1,-6.26,
CNC(=S)Nc1ccc(NC(=S)Nc2ccc(Cc3ccc(N)cc3)cc2)cc1,-6.09,
CNOCCNOCCNOCCN,-5.12,
CNC(=O)c1ccc(C(=O)NC(=O)c2ccc(C(N)=O)s2)s1,-6.4,
CCCCc1ccc(CCCc2ccc(C)cc2)cc1,-5.78,
COCCC(=O)CC(=O)Oc1ccc(O)cc1,-6.01,
NOc1ccc(ONOc2ccc(ONO)cc2)cc1,-5.98,
NOc1ccc(C(=O)NOc2ccc(C(=O)NO)cc2)cc1,-6.24,
CCCNc1ccc(CCNc2ccc(C)s2)s1,-5.63,
CNCCCNCCCNCCCN,-5.18,
CC(=O)c1ccc(-c2ccc(-c3ccc(C)s3)s2)cc1,-6.31,
COc1ccc(C(=O)c2ccc(O)cc2)cc1,-6.4,
CNc1ccc(-c2ccc(C(N)=O)s2)s1,-6.22,
CCc1ccc(-c2ccc(-c3ccc(C)s3)s2)cc1,-6.12,
CCc1ccc(Cc2ccc(C)s2)s1,-5.81,
COCC(=S)c1ccc(C(=S)Cc2ccc(-c3ccc(O)cc3)cc2)s1,-6.04,
COC(F)(F)C(=O)C(F)(F)OC(F)(F)C(=O)C(O)(F)F,-5.57,
CC(=O)c1ccc(-c2ccc(C(C)=S)cc2)cc1,-6.37,
CCCC(=O)OC(=O)Cc1ccc(-c2ccc(C)cc2)cc1,-6.14,
CNC(=O)c1ccc(NC(=S)c2ccc(Nc3ccc(N)cc3)cc2)s1,-6.21,
CCNC(=O)C(=S)CNC(=O)C(C)=S,-5.8,
CCc1ccc(C(=O)c2ccc(C)cc2)cc1,-6.29,
Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)s3)s2)s1,-6.18,
COCCCOCOCOCCCOCOCO,-5.22,
CCNc1ccc(C(=O)CNc2ccc(C(C)=O)s2)s1,-6.0,
COC(=O)OC(=O)OC(=O)OC(=O)O,-6.78,
CC(=S)c1ccc(C(=S)c2ccc(C)cc2)cc1,-6.17,
CCC(=O)c1ccc(-c2ccc(C)s2)s1,-6.12,
CC(=O)c1ccc(C(=S)c2ccc(C)s2)cc1,-6.31,
CCNC(=O)c1ccc(CNC(=O)c2ccc(C)s2)s1,-6.02,
Cc1ccc(C(F)(F)C(=O)C(C)(F)F)s1,-5.82,
CN1C(=O)c2ccc(C(=O)c3ccc4c(c3)C(=O)N(CCCCCCN)C4=O)cc2C1=O,-6.25,
CNC(=O)NC(=O)NC(=O)NC(N)=O,-6.46,
CC(=S)c1ccc(-c2ccc(-c3ccc(C)s3)s2)s1,-6.13,
COc1ccc(C(=O)c2ccc(C(=O)NOC(=O)O)s2)cc1,-6.35,
COC(=S)C(F)(F)C(F)(F)OC(=S)C(F)(F)C(O)(F)F,-5.26,
CCc1ccc(C(N)=O)cc1Cc1ccc(C(N)=O)cc1C,-6.17,
CCC(C)(F)F,-5.21,
CCNOC(=S)CNOC(=S)CNOC(C)=S,-5.28,
CCC(=O)Nc1ccc(CC(=O)Nc2ccc(C)s2)s1,-6.01,
CNc1ccc(Nc2ccc(N)s2)s1,-5.96,
COCc1ccc(COCc2ccc(CO)s2)s1,-5.68,
Cc1ccc(NC(F)(F)C(C)(F)F)cc1,-5.86,
CCC(=O)c1ccc(-c2ccc(C)cc2)s1,-6.21,
CC(=O)c1ccc(C(=O)C(=S)C(=O)c2ccc(C(=O)C(C)=S)s2)s1,-6.33,
CNC(=S)NC(=S)NC(=S)NC(N)=S,-5.69,
COC(=O)C(F)(F)C(F)(F)OC(=O)C(F)(F)C(O)(F)F,-5.64,
CNC(=O)c1ccc(-c2ccc(N)s2)cc1,-6.31,
CC(=O)c1ccc(Oc2ccc(C)s2)s1,-6.22,
Cc1ccc(C)cc1,-6.39,
CNc1ccc(C(=O)C(=S)Nc2ccc(C(=O)C(N)=S)cc2)cc1,-6.27,
CC(=S)c1ccc(-c2ccc(-c3ccc(C)cc3)cc2)s1,-6.27,
CNC(=O)CCCCCCNC(=O)CCCCCCN,-5.39,
NOC(=O)c1ccc(NOC(=O)c2ccc(NO)cc2)cc1,-6.22,
Cc1cccc(C)n1,-6.6,
CC(=O)c1ccc(-c2ccc(-c3ccc(C)cc3)s2)cc1,-6.38,
CCCC(=O)c1ccc(CCC(=O)c2ccc(C)s2)s1,-5.9,
CCc1ccc(NC(=S)Cc2ccc(NC(C)=S)s2)s1,-5.77,
CCc1ccc(C(=S)c2ccc(C)cc2)cc1,-6.17,
CNc1ccc(C(=S)CNc2ccc(C(=S)CN)cc2)cc1,-5.95,
NOC(=S)C(=O)NOC(=S)C(=O)NO,-5.88,
COc1ccc(C(F)(F)C(O)(F)F)cc1,-5.89,
CNc1ccc(-c2ccc(C(N)=S)s2)cc1,-6.18,
COC(=O)COC(=O)COC(=O)CO,-6.0,
CNc1ccc(-c2ccc(C(=S)c3ccc(-c4ccc(Nc5ccc(N)cc5)s4)s3)s2)s1,-6.12,
CCc1ccc(-c2ccc(-c3ccc(C)s3)s2)s1,-6.03,
CC(=O)c1ccc(Oc2ccc(C)s2)cc1,-6.33,
CC(=O)C(=S)OC(=S)C(=O)C(=S)OC(C)=S,-5.98,
CC(=S)c1ccc(C(=S)c2ccc(C)cc2)s1,-6.16,
CNc1ccc(-c2ccc(-c3ccc(N)cc3)cc2)cc1,-6.31,
Cc1ccc(-c2ccc(C(F)(F)C(C)(F)F)cc2)s1,-5.98,
CNC(=S)Nc1ccc(NC(=S)NCCCCCCN)cc1,-5.61,
COc1ccc(-c2ccc(C(=O)O)cc2)s1,-6.35,
CCC(=O)Oc1ccc(CC(=O)Oc2ccc(C)s2)s1,-6.05,
CCc1ccc(Cc2ccc(C)s2)cc1,-5.99,
CCC(=O)OC(=O)CC(=O)OC(C)=O,-6.3,
CCc1ccc(-c2ccc(C(C)=S)cc2)s1,-6.05,
COCNCOCNCOCNCO,-5.27,
Cc1ccc(C(F)(F)C(=O)C(C)(F)F)cc1,-6.01,
CCc1ccc(OC(=S)Cc2ccc(OC(C)=S)cc2)cc1,-6.0,
CC(=O)Oc1ccc(C(=S)C(=O)Oc2ccc(C(C)=S)cc2)cc1,-6.32,
CNCNCNCNCNCNCN,-5.22,
CC(=O)c1ccc(-c2ccc(-c3ccc(C)s3)s2)s1,-6.27,
Cc1ccc(C(=S)c2ccc(-c3ccc(C)s3)s2)cc1,-6.22,
CCc1ccc(C(=S)c2ccc(C)s2)cc1,-6.07,
CCC(=O)CC(=O)CC(=O)CC(C)=O,-5.95,
CCC(=O)Nc1ccc(CC(=O)Nc2ccc(C)cc2)cc1,-6.16,
CCC(=O)C(=S)c1ccc(CC(=O)C(=S)c2ccc(C)s2)s1,-6.0,
COC(=O)c1ccc(C(=O)OCCO)cc1,-6.18,
CNCCCNC(=O)NC(=O)NCCCNC(=O)NC(N)=O,-5.77,
CC(=S)OC(=S)c1ccc(C(=S)OC(=S)c2ccc(C)cc2)cc1,-6.13,
CCc1ccc(C(=O)C(=S)Cc2ccc(C(=O)C(C)=S)cc2)cc1,-6.14,
COCCCCONC(=O)OCCCCONC(=O)O,-5.44,
COC(=S)OCOC(=S)OCOC(=S)OCO,-5.47,
CNC(=O)c1ccc(-c2ccc(N)cc2)cc1,-6.4,
CCC(=O)c1ccc(C(=O)CC(=O)c2ccc(C(C)=O)s2)s1,-6.21,
CNc1ccc(-c2ccc(CN)s2)s1,-5.92,
CC(=S)C(=O)CCNc1ccc(C(=S)c2ccc(C)cc2)cc1,-6.05,
CCCC(F)(F)C(C)(F)F,-5.21,
CCc1ccc(OC(=S)Cc2ccc(OC(C)=S)s2)s1,-5.78,
COC(=O)CCCCC(=O)OCCO,-5.59,
CC(=S)c1ccc(-c2ccc(-c3ccc(C)cc3)s2)cc1,-6.27,
CNc1ccc(-c2ccc(-c3ccc(N)s3)s2)s1,-6.09,
Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)cc3)cc2)cc1,-6.34,
CONC(=O)NOC(=O)NCONC(=O)NOC(=O)NCO,-5.82,
CCNC(=S)C(=O)CNC(=S)C(C)=O,-5.79,
CCC(=O)C(=S)C(=O)CC(=O)C(=S)C(C)=O,-6.06,
Cc1ccc(-c2ccc(C(F)(F)C(C)(F)F)s2)s1,-5.87,
CNC(=S)Nc1ccc(Cc2ccc(N)cc2)cc1,-6.09,
COC(=O)CCCCCOC(=O)CCCCCO,-5.44,
Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)s3)cc2)cc1,-6.3,
COC(CCO)(C(F)(F)F)C(F)(F)F,-5.18,
COC(=S)c1ccc(COC(=S)c2ccc(CO)cc2)cc1,-6.0,
CSCCCCCSCCCCCS,-5.03,
CCc1ccc(C(=O)c2ccc(C)s2)cc1,-6.2,
CC(=O)c1ccc(C(=O)C(C)=S)cc1,-6.42,
CNC(=S)Nc1ccc(NC(=S)Nc2ccc(Oc3ccc(N)cc3)cc2)cc1,-6.15,
CC(F)C(C)(F)F,-5.11,
CNC(=O)c1ccc(C(=S)NC(=O)c2ccc(C(N)=S)s2)s1,-6.14,
CCCCc1ccc(CCCc2ccc(C)s2)s1,-5.57,
Cc1ccc(OC(=S)c2ccc(C)s2)cc1,-6.21,
CCNCc1ccc(CNCc2ccc(C)s2)s1,-5.61,
NONC(=S)NONC(=S)NONC(=S)NO,-5.23,
CC(=O)c1ccc(-c2ccc(C(C)=S)s2)cc1,-6.3,
CC(=S)CC(F)(F)C(F)(F)C(=S)CC(F)(F)C(C)(F)F,-5.19,
CNc1ccc(NCNc2ccc(NCN)cc2)cc1,-5.93,
CC(=S)NC(F)(F)C(F)(F)C(=S)NC(F)(F)C(C)(F)F,-5.29,
CCc1ccc(-c2ccc(C(C)=S)s2)s1,-5.95,
CNc1ccc(C(=O)c2ccc(N)s2)cc1,-6.29,
COC(=O)NCCOCCOCCNC(=O)OCCO,-5.52,
CC(=S)C(F)(F)c1ccc(C(C)(F)F)cc1,-5.84,
CCc1ccc(CC(=S)Cc2ccc(CC(C)=S)s2)s1,-5.65,
CNc1ccc(OC(=S)Nc2ccc(OC(N)=S)cc2)cc1,-6.14,
CCCc1ccc(-c2ccc(C)cc2)cc1,-6.09,
CC(=O)c1ccc(C(=S)c2ccc(C)cc2)cc1,-6.38,
Cc1ccc(-c2ccc(-c3ccc(-c4ccc(C)s4)s3)s2)cc1,-6.24,
Cc1ccc(C)s1,-6.18,
NOc1ccc(C(=O)NOc2ccc(C(=O)NO)s2)s1,-6.08,
CCC(CC(CC(C)c1ccccn1)c1ccccn1)c1ccccn1,-5.99,
CC(=O)c1ccc(-c2ccc(C(C)=S)s2)s1,-6.22,
CNC(=O)NC(=O)NCNCNC(=O)NC(=O)NCNCN,-5.84,
COCOCCCNCOCOCCCNCO,-5.21,
COC(F)(F)c1ccc(C(O)(F)F)s1,-5.68,
CCCc1ccc(C(=S)CCc2ccc(C(C)=S)cc2)cc1,-5.87,
CC(=O)c1ccc(-c2ccc(-c3ccc(C)cc3)cc2)cc1,-6.42,
COc1ccc(-c2ccc(-c3ccc(O)cc3)s2)cc1,-6.29,
CNC(=S)OC(=S)NC(=S)OC(N)=S,-5.64,
CCCC(=O)c1ccc(CCC(=O)c2ccc(C)cc2)cc1,-6.05,
CCNCC(=S)CNCC(=S)CNCC(C)=S,-5.26,
CNC(=O)CCNC(=O)CCNC(=O)CCN,-5.69,
CNc1ccc(N)cc1,-6.21,
CCC(C)C,-5.14,
CCOc1ccc(-c2ccc(C)cc2)s1,-6.07,
Cc1ccc(-c2ccc(C(F)(F)C(C)(F)F)cc2)cc1,-6.1,
CCc1ccc(-c2ccc(-c3ccc(C)cc3)s2)cc1,-6.2,
Cc1ccc(C(=S)c2ccc(C(=S)C(=O)Nc3ccc(-c4ccc(C)s4)cc3)s2)s1,-6.19,
CNc1ccc(NCNc2ccc(NCN)s2)s1,-5.7,
CNc1ccc(-c2ccc(C(N)=S)cc2)cc1,-6.25,
CONc1ccc(CONc2ccc(CO)s2)s1,-5.66,
CNc1ccc(NC(=O)NONC(N)=O)s1,-5.99,
CCc1ccc(Oc2ccc(C)s2)s1,-5.92,
CC(=S)C(=O)C(F)(F)C(F)(F)C(=S)C(=O)C(F)(F)C(C)(F)F,-5.51,
COCC(=S)COCC(=S)COCC(=S)CO,-5.27,
COc1ccc(-c2ccc(-c3ccc(O)cc3)cc2)cc1,-6.34,
CCc1ccc(CCc2ccc(CC)cc2)cc1,-5.84,
CONOCONOCONOCO,-5.08,
CNC(=O)Nc1ccc(NC(=O)Nc2ccc(N)s2)s1,-6.15,
COC(=S)c1ccc(C(=O)OC(=S)c2ccc(C(=O)O)cc2)cc1,-6.35,
CCC(=O)Cc1ccc(CC(=O)Cc2ccc(C)cc2)cc1,-6.05,
CCC(=O)c1ccc(-c2ccc(C)cc2)cc1,-6.29,
CCNc1ccc(-c2ccc(C)s2)cc1,-6.05,
